Keyword,Position,Previous Position,Position Diff,URL,Traffic,Traffic %,Traffic Cost,Volume,CPC,KD %,Competition,Results,Intent,SERP Features,Crawled Time,changeOfTraffic,changeOfTrafficSigned,Click Potential,clickPotentialPercent,keywordSERPFeatures,positionIsSERPFeature,positionOnSERP,positionSERPFeatures,serpFeatureIndex,Traffic Cost %,Trends,URL Hash
1.5 ton ac price in pakistan,46,46,0,https://www.shoppingjin.pk/prices/home-appliances/air-conditioner/split/dc-inverter/,0,0,0,40,0,0,0.02,115,3,,2026-04-13 16:31:40,0,0,-1,-1,6; 9; 36; 52,false,51,,0,0,18; 18; 27; 63; 81; 81; 18; 18; 18; 18; 18; 27,7453427278913411028
1.5 ton ac price in pakistan,93,93,0,https://www.shoppingjin.pk/prices/home-appliances/air-conditioner/split/dc-inverter/,0,0,0,40,0,0,0.02,115,3,,2026-04-13 16:31:40,0,0,-1,-1,6; 9; 36; 52,false,98,,0,0,18; 18; 27; 63; 81; 81; 18; 18; 18; 18; 18; 27,7453427278913411028
rinnai distributors,85,85,0,https://www.shoppingjin.pk/contact-us/,0,0,0,70,4,26,0.79,72600,1; 2,,2026-04-23 22:00:17,0,0,-1,-1,6; 9; 21; 36; 52,false,93,,0,0,5; 6; 4; 4; 3; 3; 3; 4; 3; 3; 3; 8,3900652648315796191
best handheld spiralizer,89,89,0,https://www.shoppingjin.pk/,0,0,0,50,0.62,19,0.97,232000,0,5,2026-04-14 17:13:01,0,0,-1,-1,5; 6; 9; 13; 36; 52,false,97,,0,0,9; 9; 9; 9; 9; 9; 33; 33; 33; 33; 33; 33,6285028203693436936
refrigerator rates in pakistan,42,42,0,https://www.shoppingjin.pk/prices/kitchen-appliances/refrigerator/,0,0,0,90,0,17,0,6340000,0,,2026-04-15 19:11:08,0,0,-1,-1,6; 9; 21; 36; 52,false,51,,0,0,23; 33; 42; 42; 100; 66; 33; 33; 33; 42; 33; 33,2952916342694323658
samsung note 20 ultra price in pakistan,37,37,0,https://www.shoppingjin.pk/product/samsung-galaxy-note-20-ultra-12gb512gb/,0,0,0,70,0,11,0.55,77100000,0,,2026-04-13 09:04:42,0,0,-1,-1,9; 13; 36; 52,false,42,,0,0,100; 82; 5; 5; 7; 5; 5; 5; 5; 5; 5; 5,14947177967567969438
pakistani washing machine price,12,12,0,https://www.shoppingjin.pk/prices/home-appliances/washing-machine/,0,0,0,50,0,11,0.01,6380000,0,5,2026-04-14 13:08:27,0,0,-1,-1,5; 6; 9; 13; 21; 36; 52,false,25,13,0,0,71; 100; 42; 71; 100; 100; 57; 71; 100; 100; 0; 71,9849883779298793621
pakistani washing machine price,39,39,0,https://www.shoppingjin.pk/prices/home-appliances/washing-machine/semi-automatic/,0,0,0,50,0,11,0.01,6380000,0,5,2026-04-14 13:08:27,0,0,-1,-1,5; 6; 9; 13; 21; 36; 52,false,52,13,0,0,71; 100; 42; 71; 100; 100; 57; 71; 100; 100; 0; 71,5421213370001607119
samsung rs3000 rs50n3513sa,49,49,0,https://www.shoppingjin.pk/product/samsung-series-6-rs50n3c13s-eu-american-style-fridge-freezer/,0,0,0,90,0,28,0.59,11300,1; 3,1,2026-04-06 19:02:57,0,0,-1,-1,1; 6; 9; 36,false,49,,0,0,18; 18; 18; 100; 100; 100; 100; 63; 63; 81; 100; 81,13452862481965457189
ceiling fan price in pakistan,47,47,0,https://www.shoppingjin.pk/prices/home-appliances/fan/ceiling/,0,0,0,40,0,0,0.36,14500000,0,5,2026-04-01 14:08:21,0,0,-1,-1,5; 9; 13; 21; 36; 52,false,62,,0,0,7; 100; 7; 7; 7; 7; 7; 7; 7; 7; 7; 7,14852002453544317563
orange juicing machine,88,88,0,https://www.shoppingjin.pk/,0,0,0,210,0.52,25,1,4980000,0; 1,5,2026-04-13 12:57:29,0,0,-1,-1,5; 6; 9; 13; 20; 34; 36; 45,false,98,,0,0,100; 5; 3; 6; 0; 0; 10; 5; 36; 3; 3; 3,6285028203693436936
ac pakistan price,18,18,0,https://www.shoppingjin.pk/prices/home-appliances/air-conditioner/split/dc-inverter/,0,0,0,90,0,20,0,188,0,5,2026-04-09 19:03:03,0,0,-1,-1,5; 9; 13; 36; 52,false,22,,0,0,15; 21; 9; 28; 100; 100; 28; 15; 21; 12; 15; 12,7453427278913411028
ac pakistan price,24,24,0,https://www.shoppingjin.pk/prices/home-appliances/air-conditioner/split/dc-inverter/,0,0,0,90,0,20,0,188,0,5,2026-04-09 19:03:03,0,0,-1,-1,5; 9; 13; 36; 52,false,28,13,0,0,15; 21; 9; 28; 100; 100; 28; 15; 21; 12; 15; 12,7453427278913411028
ac pakistan price,77,77,0,https://www.shoppingjin.pk/prices/home-appliances/air-conditioner/split/,0,0,0,90,0,20,0,188,0,5,2026-04-09 19:03:03,0,0,-1,-1,5; 9; 13; 36; 52,false,81,13,0,0,15; 21; 9; 28; 100; 100; 28; 15; 21; 12; 15; 12,16198356454546616877
ac price pk,23,23,0,https://www.shoppingjin.pk/prices/home-appliances/air-conditioner/split/dc-inverter/,0,0,0,70,0,25,0,399000000,0,,2026-04-14 21:25:04,0,0,-1,-1,6; 9; 13; 36,false,23,13,0,0,9; 12; 15; 28; 0; 100; 28; 15; 21; 12; 15; 12,7453427278913411028
hoods in pakistan,66,66,0,https://www.shoppingjin.pk/prices/kitchen-appliances/cooking/hood/,0,0,0,50,0.6,0,0.88,5120000,0,,2026-04-09 20:01:55,0,0,-1,-1,6; 9; 13; 21; 36; 52,false,75,,0,0,42; 23; 42; 42; 100; 52; 0; 0; 0; 0; 0; 0,7474889760366319243
air conditioning price in pakistan,35,35,0,https://www.shoppingjin.pk/prices/home-appliances/air-conditioner/split/dc-inverter/,0,0,0,90,0,24,0,88200000,0,,2026-04-11 08:03:06,0,0,-1,-1,6; 9; 21; 36; 52,false,39,,0,0,21; 15; 21; 28; 53; 100; 28; 15; 21; 12; 15; 12,7453427278913411028
dawlance fridge pakistan price,23,23,0,https://www.shoppingjin.pk/price/dawlance/refrigerator-2/,0,0,0,50,0,16,0.33,214,2; 3,,2026-04-06 08:56:15,0,0,-1,-1,9; 13; 36,false,23,13,0,0,18; 18; 100; 100; 100; 100; 18; 18; 18; 18; 18; 18,1545778752807873152
pak washing machine price,23,23,0,https://www.shoppingjin.pk/prices/home-appliances/washing-machine/,0,0,0,50,0,0,0.01,143,3,5,2026-04-20 01:04:34,0,0,-1,-1,5; 6; 9; 13; 36; 52,false,32,,0,0,45; 63; 27; 45; 63; 63; 36; 45; 63; 63; 81; 45,9849883779298793621
refrigerator pakistan price,42,42,0,https://www.shoppingjin.pk/prices/kitchen-appliances/refrigerator/,0,0,0,90,0,14,0,13400000,0,,2026-04-22 21:46:33,0,0,-1,-1,6; 9; 13; 21; 36,false,46,13,0,0,23; 33; 42; 42; 100; 66; 33; 33; 33; 42; 33; 33,2952916342694323658
redragon keyboard how to turn on lights,76,76,0,https://www.shoppingjin.pk/product/experl-300w-600w-carbon-heaters/,0,0,0,210,0,25,0,320000,1,5,2026-04-13 20:35:32,0,0,-1,-1,5; 6; 9; 20; 21; 36; 38; 45; 52,false,97,,0,0,43; 53; 53; 100; 53; 66; 23; 43; 35; 53; 35; 28,4465278230252231241
panasonic steam,59,59,0,https://www.shoppingjin.pk/prices/home-appliances/iron/,0,0,0,90,0.62,23,1,28200000,3,,2026-04-13 13:04:02,0,0,-1,-1,6; 9; 13; 20; 34; 36,false,63,,0,0,34; 26; 26; 19; 26; 34; 34; 34; 34; 34; 42; 53,13954437764926548130
juicer machine for pomegranate,84,84,0,https://www.shoppingjin.pk/,0,0,0,390,0.36,5,1,3980000,1; 3,5,2026-04-13 02:55:56,0,0,-1,-1,5; 6; 9; 13; 20; 34; 36; 38; 45,false,99,,0,0,3; 2; 1; 2; 4; 7; 0; 0; 0; 0; 100; 0,6285028203693436936
boya mic price in pakistan,31,31,0,https://www.shoppingjin.pk/price/boya-mic/,0,0,0,50,0,5,0.33,317000,2; 3,5,2026-04-20 08:42:35,0,0,-1,-1,5; 6; 9; 21; 36,false,38,,0,0,5; 5; 5; 5; 5; 5; 5; 5; 5; 5; 5; 100,6239945909838236943
air cooler rate in pakistan,47,47,0,https://www.shoppingjin.pk/prices/home-appliances/air-cooler/,0,0,0,40,0,7,0.33,123,0,5,2026-04-07 02:09:23,0,0,-1,-1,5; 6; 9; 13; 21; 36,false,55,,0,0,18; 18; 18; 63; 100; 100; 18; 18; 18; 18; 0; 18,15484263167841740769
air cooler rate in pakistan,73,73,0,https://www.shoppingjin.pk/prices/home-appliances/air-cooler/,0,0,0,40,0,7,0.33,123,0,5,2026-04-07 02:09:23,0,0,-1,-1,5; 6; 9; 13; 21; 36,false,81,,0,0,18; 18; 18; 63; 100; 100; 18; 18; 18; 18; 0; 18,15484263167841740769
ac rates in pakistan,22,22,0,https://www.shoppingjin.pk/prices/home-appliances/air-conditioner/,0,0,0,90,0,20,0,195000000,0; 1,,2026-04-05 12:36:48,0,0,-1,-1,6; 9; 36; 52,false,27,,0,0,15; 21; 9; 28; 53; 100; 28; 15; 21; 12; 15; 12,13305780528819208543
ac rates in pakistan,68,68,0,https://www.shoppingjin.pk/prices/home-appliances/air-conditioner/split/dc-inverter/,0,0,0,90,0,20,0,195000000,0; 1,,2026-04-05 12:36:48,0,0,-1,-1,6; 9; 36; 52,false,73,,0,0,15; 21; 9; 28; 53; 100; 28; 15; 21; 12; 15; 12,7453427278913411028
black and decker warranty claim,29,29,0,https://www.shoppingjin.pk/warranty/black-and-decker/,0,0,0,140,0,11,0,915000,1,,2026-04-10 08:42:38,0,0,-1,-1,6; 9; 36; 52,false,34,,0,0,42; 34; 34; 53; 65; 53; 53; 53; 53; 53; 42; 42,13973018988677754890
air purifier in pakistan,38,38,0,https://www.shoppingjin.pk/prices/home-appliances/air-purifier/,0,0,0,40,0.33,13,0.4,13400000,0,5,2026-04-24 00:04:13,0,0,-1,-1,5; 6; 9; 13; 20; 21; 36; 45; 52,false,60,13,0,0,12; 6; 6; 12; 15; 15; 9; 6; 9; 21; 34; 3,8784456636790551313
agam69r3smi.site -pastijepe,12,12,0,https://www.shoppingjin.pk/prices/home-appliances/ups/,0,0,0,70,0,-1,0.33,279,1,,2026-04-12 18:47:55,0,0,-1,-1,,false,12,,0,0,0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 100,11013955027866698371
dawlance fridge price pakistan,24,24,0,https://www.shoppingjin.pk/price/dawlance/refrigerator-2/,0,0,0,50,0,16,0.33,180,2; 3,5,2026-05-19 09:47:16,0,0,-1,-1,5; 6; 9; 13; 21; 36,false,31,,0,0,4; 4; 52; 52; 52; 52; 9; 9; 9; 9; 9; 9,1545778752807873152
ac air conditioner price in pakistan,31,31,0,https://www.shoppingjin.pk/prices/home-appliances/air-conditioner/,0,0,0,90,0,26,0,117,0,,2026-04-22 05:53:32,0,0,-1,-1,6; 9; 36,false,31,,0,0,15; 21; 9; 28; 53; 100; 28; 15; 21; 12; 15; 12,13305780528819208543
haier fridge rate in pakistan,33,33,0,https://www.shoppingjin.pk/price/haier/refrigerator/,0,0,0,70,0,8,0.02,586000,0; 1,,2026-04-02 10:52:46,0,0,-1,-1,6; 9; 36; 52,false,38,,0,0,36; 18; 100; 100; 100; 100; 18; 100; 100; 18; 18; 18,8922211045634156875
haier fridge rate in pakistan,41,41,0,https://www.shoppingjin.pk/price/haier/refrigerator/,0,0,0,70,0,8,0.02,586000,0; 1,,2026-04-02 10:52:46,0,0,-1,-1,6; 9; 36; 52,false,46,,0,0,36; 18; 100; 100; 100; 100; 18; 100; 100; 18; 18; 18,8922211045634156875
automatic washing machine price in pakistan,34,34,0,https://www.shoppingjin.pk/price-list/automatic-washing-machine/,0,0,0,50,0,15,0.05,118,0,,2026-04-13 22:33:38,0,0,-1,-1,6; 9; 36; 52,false,39,,0,0,19; 19; 19; 26; 26; 26; 11; 19; 19; 34; 15; 34,3083542959423330926
automatic washing machine price in pakistan,52,52,0,https://www.shoppingjin.pk/price-list/automatic-washing-machine/,0,0,0,50,0,15,0.05,118,0,,2026-04-13 22:33:38,0,0,-1,-1,6; 9; 36; 52,false,57,,0,0,19; 19; 19; 26; 26; 26; 11; 19; 19; 34; 15; 34,3083542959423330926
slow juicer aicok,35,35,0,https://www.shoppingjin.pk/product/aicok-slow-masticating-juice-extractor/,0,0,0,70,0.21,16,1,220,1; 3,5,2026-03-31 15:22:58,0,0,-1,-1,5; 6; 9; 13; 20; 34; 36,false,43,,0,0,63; 63; 27; 63; 81; 100; 45; 81; 63; 63; 63; 45,9135437657011787992
pakistan air cooler,57,57,0,https://www.shoppingjin.pk/prices/home-appliances/air-cooler/,0,0,0,40,0,0,0.33,182,0,5,2026-04-06 03:26:21,0,0,-1,-1,5; 6; 9; 13; 20; 34; 36,false,64,,0,0,18; 18; 18; 100; 100; 100; 18; 18; 18; 18; 18; 18,15484263167841740769
wp_nonce_field documentation,61,61,0,http://shoppingjin.pk/?page=AhomeAbitromscAkemeitrimmersIpkAwp-adminAnetwork&edit=site-new.php,0,0,0,40,0,0,0,9590,1,,2026-04-11 16:04:06,0,0,-1,-1,6; 9; 36,false,61,,0,0,33; 100; 55; 11,1734811704886227649
gree ac prices pakistan,15,15,0,https://www.shoppingjin.pk/price/gree/ac-5/,0,0,0,50,0,11,0.02,2300000,0,,2026-04-02 01:58:42,0,0,-1,-1,6; 9; 13; 21; 36; 52,false,24,,0,0,5; 10; 10; 5; 5; 100; 5; 5; 5; 5; 5; 5,286813747493861561
gree ac prices pakistan,21,21,0,https://www.shoppingjin.pk/price/gree/ac-5/,0,0,0,50,0,11,0.02,2300000,0,,2026-04-02 01:58:42,0,0,-1,-1,6; 9; 13; 21; 36; 52,false,30,13,0,0,5; 10; 10; 5; 5; 100; 5; 5; 5; 5; 5; 5,286813747493861561
ac rate in pakistan,28,28,0,https://www.shoppingjin.pk/prices/home-appliances/air-conditioner/split/dc-inverter/,0,0,0,90,0,25,0,130,0; 1,5,2026-04-05 12:53:27,0,0,-1,-1,5; 6; 9; 36; 52,false,36,,0,0,15; 21; 9; 65; 53; 100; 28; 15; 21; 12; 15; 12,7453427278913411028
ac rate in pakistan,79,79,0,https://www.shoppingjin.pk/prices/home-appliances/air-conditioner/,0,0,0,90,0,25,0,130,0; 1,5,2026-04-05 12:53:27,0,0,-1,-1,5; 6; 9; 36; 52,false,87,,0,0,15; 21; 9; 65; 53; 100; 28; 15; 21; 12; 15; 12,13305780528819208543
ac rate in pakistan,81,81,0,https://www.shoppingjin.pk/prices/home-appliances/air-conditioner/,0,0,0,90,0,25,0,130,0; 1,5,2026-04-05 12:53:27,0,0,-1,-1,5; 6; 9; 36; 52,false,89,,0,0,15; 21; 9; 65; 53; 100; 28; 15; 21; 12; 15; 12,13305780528819208543
dawlance fridge prices in pakistan,16,16,0,https://www.shoppingjin.pk/price/dawlance/refrigerator-2/,0,0,0,70,0,20,0.01,532000,2; 3,5,2026-04-10 03:42:40,0,0,-1,-1,5; 6; 9; 21; 36,false,23,,0,0,41; 41; 41; 41; 64; 52; 41; 41; 29; 23; 23; 29,1545778752807873152
dawlance fridge prices in pakistan,19,19,0,https://www.shoppingjin.pk/price/dawlance/refrigerator-2/,0,0,0,70,0,20,0.01,532000,2; 3,5,2026-04-10 03:42:40,0,0,-1,-1,5; 6; 9; 21; 36,false,26,,0,0,41; 41; 41; 41; 64; 52; 41; 41; 29; 23; 23; 29,1545778752807873152
air conditioner pakistan prices,34,34,0,https://www.shoppingjin.pk/prices/home-appliances/air-conditioner/split/dc-inverter/,0,0,0,90,0,18,0,174,0,,2026-04-11 07:51:17,0,0,-1,-1,6; 9; 13; 21; 36; 52,false,43,13,0,0,15; 21; 9; 28; 53; 100; 28; 15; 21; 12; 15; 12,7453427278913411028
air conditioner pakistan prices,55,55,0,https://www.shoppingjin.pk/prices/home-appliances/air-conditioner/split/,0,0,0,90,0,18,0,174,0,,2026-04-11 07:51:17,0,0,-1,-1,6; 9; 13; 21; 36; 52,false,64,13,0,0,15; 21; 9; 28; 53; 100; 28; 15; 21; 12; 15; 12,16198356454546616877
air conditioner pakistan prices,68,68,0,https://www.shoppingjin.pk/prices/home-appliances/air-conditioner/split/,0,0,0,90,0,18,0,174,0,,2026-04-11 07:51:17,0,0,-1,-1,6; 9; 13; 21; 36; 52,false,77,13,0,0,15; 21; 9; 28; 53; 100; 28; 15; 21; 12; 15; 12,16198356454546616877
dawlance refrigerator price in pakistan,19,19,0,https://www.shoppingjin.pk/price/dawlance/refrigerator-2/,0,0,0,70,0,13,0.33,125,2; 3,5,2026-04-15 23:54:25,0,0,-1,-1,5; 6; 9; 13; 36,false,23,,0,0,23; 33; 66; 52; 52; 80; 14; 14; 23; 19; 19; 42,1545778752807873152
air cooler pakistani price,54,54,0,https://www.shoppingjin.pk/prices/home-appliances/air-cooler/,0,0,0,40,0,3,0.33,17500000,0,5,2026-04-12 23:01:17,0,0,-1,-1,5; 6; 9; 13; 36,false,58,,0,0,27; 18; 18; 63; 100; 100; 18; 18; 18; 18; 0; 18,15484263167841740769
pakistan ac prices,16,16,0,https://www.shoppingjin.pk/prices/home-appliances/air-conditioner/split/dc-inverter/,0,0,0,90,0,17,0,333000000,0,,2026-04-17 20:59:19,0,0,-1,-1,6; 9; 13; 36; 52,false,21,,0,0,0; 21; 9; 28; 53; 100; 28; 15; 21; 12; 15; 12,7453427278913411028
pakistan ac prices,35,35,0,https://www.shoppingjin.pk/prices/home-appliances/air-conditioner/split/,0,0,0,90,0,17,0,333000000,0,,2026-04-17 20:59:19,0,0,-1,-1,6; 9; 13; 36; 52,false,40,,0,0,0; 21; 9; 28; 53; 100; 28; 15; 21; 12; 15; 12,16198356454546616877
pakistan ac prices,57,57,0,https://www.shoppingjin.pk/prices/home-appliances/air-conditioner/,0,0,0,90,0,17,0,333000000,0,,2026-04-17 20:59:19,0,0,-1,-1,6; 9; 13; 36; 52,false,62,,0,0,0; 21; 9; 28; 53; 100; 28; 15; 21; 12; 15; 12,13305780528819208543
ac price in pk,26,26,0,https://www.shoppingjin.pk/prices/home-appliances/air-conditioner/split/dc-inverter/,0,0,0,70,0,21,0,142000000,0,5,2026-04-07 19:20:23,0,0,-1,-1,5; 6; 9; 13; 36; 52,false,35,13,0,0,26; 34; 42; 80; 100; 0; 0; 0; 0; 0; 0; 0,7453427278913411028
ac price in pk,71,71,0,https://www.shoppingjin.pk/prices/home-appliances/air-conditioner/,0,0,0,70,0,21,0,142000000,0,5,2026-04-07 19:20:23,0,0,-1,-1,5; 6; 9; 13; 36; 52,false,80,13,0,0,26; 34; 42; 80; 100; 0; 0; 0; 0; 0; 0; 0,13305780528819208543
prices of air cooler in pakistan,45,45,0,https://www.shoppingjin.pk/prices/home-appliances/air-cooler/,0,0,0,40,0,1,0.33,123,0,5,2026-04-07 09:58:38,0,0,-1,-1,5; 6; 9; 13; 36; 52,false,56,,0,0,14; 14; 14; 50; 78; 78; 14; 14; 14; 14; 0; 14,15484263167841740769
prices of air cooler in pakistan,75,75,0,https://www.shoppingjin.pk/prices/home-appliances/air-cooler/,0,0,0,40,0,1,0.33,123,0,5,2026-04-07 09:58:38,0,0,-1,-1,5; 6; 9; 13; 36; 52,false,86,,0,0,14; 14; 14; 50; 78; 78; 14; 14; 14; 14; 0; 14,15484263167841740769
lcd tv prices pakistan 2025,32,32,0,https://www.shoppingjin.pk/prices/tv/lcd-led/,0,0,0,50,0,14,0,20100000,0,,2026-04-22 02:58:00,0,0,-1,-1,6; 9; 13; 20; 36; 52,false,40,13,0,0,100,16607891989657479235
lcd tv prices pakistan 2025,55,55,0,https://www.shoppingjin.pk/prices/tv/lcd-led/,0,0,0,50,0,14,0,20100000,0,,2026-04-22 02:58:00,0,0,-1,-1,6; 9; 13; 20; 36; 52,false,63,,0,0,100,16607891989657479235
air fryer price in pakistan,11,11,0,https://www.shoppingjin.pk/prices/kitchen-appliances/fryer/air/,0,0,0,210,0,13,0.07,10500000,0,5,2026-04-22 17:42:10,0,0,-1,-1,5; 9; 13; 21; 36; 52,false,22,13,0,0,7; 15; 19; 15; 7; 7; 7; 100; 29; 36; 10; 12,15623742663397301580
air cooler pakistan price,48,48,0,https://www.shoppingjin.pk/prices/home-appliances/air-cooler/,0,0,0,40,0,0,0.33,164,0,5,2026-04-01 16:58:26,0,0,-1,-1,5; 6; 9; 13; 36; 52,false,59,13,0,0,7; 7; 7; 26; 42; 65; 7; 7; 7; 7; 0; 7,15484263167841740769
air cooler pakistan price,57,57,0,https://www.shoppingjin.pk/prices/home-appliances/air-cooler/,0,0,0,40,0,0,0.33,164,0,5,2026-04-01 16:58:26,0,0,-1,-1,5; 6; 9; 13; 36; 52,false,68,13,0,0,7; 7; 7; 26; 42; 65; 7; 7; 7; 7; 0; 7,15484263167841740769
2000w ceramic fan heater,87,87,0,https://www.shoppingjin.pk/,0,0,0,70,0,23,0,1040000,0,5,2026-04-13 04:35:21,0,0,-1,-1,5; 6; 9; 13; 20; 21; 34; 36,false,99,,0,0,6; 34; 34; 34; 100; 15; 0; 0; 0; 0; 0; 0,6285028203693436936
dawlance fridge in pakistan price,29,29,0,https://www.shoppingjin.pk/price/dawlance/refrigerator-2/,0,0,0,70,0,13,0.33,95,2; 3,5,2026-05-15 23:57:05,0,0,-1,-1,5; 6; 9; 21; 36,false,36,,0,0,6; 6; 100; 34; 34; 34; 6; 6; 6; 6; 6; 6,1545778752807873152
air conditioner rates in pakistan,37,37,0,https://www.shoppingjin.pk/prices/home-appliances/air-conditioner/,0,0,0,90,0,22,0,177000000,0; 1,,2026-04-22 17:34:01,0,0,-1,-1,6; 9; 21; 36; 52,false,46,,0,0,15; 21; 9; 28; 53; 100; 28; 15; 21; 12; 15; 12,13305780528819208543
deep freezer price,92,92,0,https://www.shoppingjin.pk/,0,0,0,110,0.38,36,1,307000000,3,5,2026-04-13 17:46:29,0,0,-1,-1,5; 6; 9; 13; 34; 36; 52,false,101,,0,0,9; 26; 3; 1; 3; 17; 14; 17; 11; 11; 14; 11,6285028203693436936
washing machines in pakistan by prices,25,25,0,https://www.shoppingjin.pk/prices/home-appliances/washing-machine/,0,0,0,50,0,9,0.01,7400000,0,,2026-04-22 02:00:30,0,0,-1,-1,6; 9; 13; 36; 52,false,30,13,0,0,71; 100; 42; 71; 100; 100; 57; 71; 100; 100; 0; 71,9849883779298793621
sem 101,75,75,0,https://www.shoppingjin.pk/product/nasgas-sem-101-semi-instant-electric-water-heater/,0,0,0,90,9.53,9,0.18,225000000,1,,2026-04-20 10:40:01,0,0,-1,-1,9; 21; 36,false,79,,0,0,28; 5; 43; 35; 17; 12; 12; 43; 17; 17; 10; 23,6536957926449803227
national micro oven,41,41,0,https://www.shoppingjin.pk/product/national-microwave-oven-20l/,0,0,0,50,0,4,0.02,15900000,1; 3,5,2026-04-17 17:06:47,0,0,-1,-1,5; 6; 9; 20; 34; 36,false,47,,0,0,9; 0; 0; 0; 9; 18; 100; 100; 100; 81; 45; 36,5525738882882972423
pakistan dawlance refrigerator price,29,29,0,https://www.shoppingjin.pk/price/dawlance/refrigerator-2/,0,0,0,50,0,18,0.33,1340000,2; 3,,2026-04-06 02:54:39,0,0,-1,-1,6; 9; 13; 21; 36,false,33,13,0,0,18; 18; 100; 100; 100; 100; 18; 18; 18; 18; 18; 18,1545778752807873152
air conditioning pakistan,79,79,0,https://www.shoppingjin.pk/,0,0,0,50,0,23,0.02,687000000,0,,2026-04-13 18:54:35,0,0,-1,-1,6; 9; 13; 36,false,79,,0,0,18; 18; 18; 100; 100; 100; 100; 18; 18; 18; 18; 18,6285028203693436936